,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Price
52,2008,1.5,132542,4.0,10,14583
53,2017,2.0,1600,4.0,12,392
54,2014,2.0,87000,1.0,12,38500
55,2001,2.0,260000,4.0,0,8781
56,2019,2.0,5323,4.0,0,87112
57,2015,1.6,87112,4.0,0,1411
58,2012,3.0,204318,6.0,12,392
59,2018,1.4,22000,4.0,6,23521
60,2013,1.6,83000,4.0,8,16935
61,2007,2.4,170000,4.0,6,10349
62,2013,1.6,312118,4.0,0,7213
63,2004,1.6,130000,4.0,6,5331
64,2013,2.0,200279,4.0,4,20526
65,2015,2.0,719847,4.0,4,9722
66,2014,2.5,154672,4.0,4,34657
67,2016,2.5,110969,4.0,4,36564
68,2013,2.5,225510,4.0,12,314
69,2001,1.5,210000,4.0,3,5488
70,2015,2.5,148105,4.0,4,30063
71,2011,2.2,255456,4.0,4,15800
72,2017,2.5,111643,4.0,4,43952
73,2016,2.0,84506,4.0,4,53154
74,2011,1.8,288000,4.0,8,14740
75,2016,2.3,75000,4.0,6,42337
76,2014,3.5,94362,6.0,12,3763
77,2012,1.8,175000,4.0,8,18189
78,2008,4.7,263190,8.0,0,862
79,2009,2.5,193614,4.0,0,220
80,2010,3.3,264877,6.0,12,5645
81,2019,1.5,27656,4.0,12,7527
82,2014,1.4,16000,8.0,10,21953
83,1998,2.0,0,4.0,2,8154
84,2012,2.5,195053,4.0,0,21953
85,2012,1.6,121362,4.0,4,19121
86,2014,2.0,69191,4.0,4,36065
87,2012,1.3,83000,4.0,12,8781
88,2010,1.8,40772,4.0,4,6247
89,2012,2.0,172000,4.0,4,16289
90,2014,5.5,433811,8.0,10,77775
91,1995,2.0,350000,6.0,2,2822
92,2012,2.5,148213,4.0,0,549
93,2008,2.0,103246,4.0,4,6981
94,2016,2.0,105394,4.0,12,27284
95,2013,2.0,160000,4.0,12,32929
96,1990,2.8,333333,4.0,0,18817
97,1997,1.4,0,4.0,6,4234
98,2004,3.2,214000,6.0,8,15053
99,2009,2.0,123346,4.0,4,15458
100,2014,1.4,80827,4.0,12,2901
101,2013,3.8,64464,6.0,12,706
102,2015,2.0,91760,4.0,12,314
103,2010,4.6,275240,8.0,0,15681
104,2004,2.2,300000,4.0,1,26657
105,2007,1.5,318400,4.0,6,10663
106,2015,2.0,91200,4.0,10,12858
107,2013,3.0,137802,6.0,12,1019
108,2013,3.0,151586,6.0,12,549
109,2016,1.2,107000,4.0,2,12858
110,2008,3.0,210408,6.0,12,15000
111,2017,2.3,100567,4.0,4,85553
112,2016,2.5,86000,4.0,4,44752
113,2010,1.6,122740,4.0,4,17158
114,2005,2.4,144000,4.0,16,12231
115,2003,5.0,150000,12.0,12,11917
116,1997,1.3,100000,4.0,0,1254
117,2003,1.5,178000,4.0,4,94
118,2013,2.0,85704,4.0,4,25591
119,2010,2.0,58962,4.0,4,14897
120,2013,2.5,90000,4.0,12,23521
121,1995,1.2,50000,3.0,0,3450
122,2014,2.5,0,4.0,12,706
123,2009,3.3,318358,6.0,12,1019
124,2015,2.0,71454,4.0,0,16935
125,2012,2.5,0,4.0,6,19444
126,2014,2.0,346470,4.0,4,11604
127,2016,2.0,59515,4.0,4,51965
128,2014,2.5,115312,4.0,12,706
129,1999,2.2,111111,4.0,4,9408
130,2008,2.5,74444,4.0,4,13328
131,2012,2.0,143000,4.0,12,17876
132,2004,3.5,299709,6.0,12,549
133,2008,2.4,135000,4.0,8,20071
134,2011,2.5,124444,4.0,4,22894
135,2012,1.5,146403,4.0,0,2901
136,1997,2.4,142000,4.0,6,15681
137,2010,4.6,155821,8.0,0,39829
138,2015,4.6,102907,8.0,0,706
139,2013,2.4,130000,4.0,6,18660
140,2017,2.0,50930,4.0,12,22580
141,2014,2.0,264872,4.0,4,11604
142,2014,1.4,131893,4.0,0,314
143,2013,2.4,138958,4.0,12,5488
144,1985,2.5,1111111,4.0,1,4300
145,2018,2.5,35058,4.0,12,18817
146,2015,1.8,33330,4.0,8,21169
147,2011,1.2,141000,4.0,4,9095
148,2014,2.0,82392,4.0,12,1568
149,2005,2.0,180000,6.0,6,3136
150,2013,1.8,117920,4.0,12,17876
151,2016,2.0,279787,4.0,4,11290
152,2010,3.5,227200,6.0,16,36065
153,2014,2.5,130478,4.0,12,862
154,2012,2.5,166144,4.0,4,21395
155,2016,2.0,258706,4.0,4,15681
156,2012,1.4,188419,4.0,0,627
157,2016,1.5,25807,4.0,4,40070
158,2008,1.7,180000,4.0,8,11917
159,2018,2.0,18918,4.0,6,72130
160,2013,2.0,137267,4.0,4,35927
161,2014,1.8,160000,4.0,4,21012
162,2018,3.5,27358,6.0,12,21012
163,2009,2.9,84176,4.0,6,13172
164,2011,2.0,107005,4.0,4,15624
165,1997,1.6,15000,4.0,2,4547
166,2015,3.5,124154,6.0,12,5488
167,2012,1.6,104997,4.0,4,20005
168,2017,1.8,27728,6.0,8,36110
169,1998,2.4,777777,6.0,4,7840
170,2019,2.0,11566,4.0,12,470
171,2018,0.5,4000,1.0,0,1300
172,2016,2.0,113700,4.0,4,43880
173,2014,1.8,69000,4.0,8,29479
174,2011,2.5,152000,4.0,12,17249
175,2003,1.5,181926,4.0,2,9408
176,2016,2.0,50255,4.0,4,44213
177,2001,2.5,252800,6.0,6,8467
178,2014,3.0,164488,6.0,12,627
179,2011,2.4,125000,4.0,2,21950
180,2012,1.4,164574,4.0,12,706
181,2014,1.4,156992,4.0,12,3136
182,1995,2.0,0,4.0,2,3450
183,1998,3.5,11000,6.0,4,9408
184,2010,4.0,90200,6.0,12,31500
185,2005,3.0,184000,6.0,12,20385
186,2014,3.5,149486,6.0,12,314
187,1996,2.0,0,4.0,0,2300
188,2004,1.9,170000,4.0,4,7840
189,2018,2.5,25000,4.0,12,56450
190,2014,2.0,113214,4.0,12,1490
191,2012,2.7,394069,4.0,12,627
192,2014,3.5,149486,6.0,12,314
193,2002,2.4,260000,4.0,6,13172
194,1990,2.8,222222,4.0,0,19757
195,2013,3.0,301707,6.0,0,4704
196,2013,2.4,175827,4.0,12,706
197,2013,3.5,107800,6.0,12,5802
198,2014,2.5,115200,4.0,8,25716
199,2012,2.0,132036,4.0,4,14426
200,2001,2.0,91000,4.0,4,10820
201,2011,3.5,129177,4.0,4,45436
202,2008,1.6,201000,4.0,8,11917
203,2015,2.0,185811,4.0,4,41281
204,1998,2.4,358400,4.0,2,4391
205,2018,3.6,28968,6.0,12,3058
206,2001,1.8,240000,4.0,4,3700
207,2008,1.6,98000,4.0,12,15681
208,2011,1.8,122302,4.0,0,6586
209,2007,1.5,140000,4.0,6,12544
210,2014,2.0,120000,4.0,4,30063
211,2010,4.8,196800,8.0,8,72130
212,2015,1.6,17200,4.0,10,21639
213,2013,2.5,120000,4.0,0,36692
214,2002,1.5,0,4.0,4,30
215,2014,1.5,66000,4.0,4,12231
216,2004,1.5,300000,4.0,4,3136
217,2009,1.8,230000,4.0,6,10663
218,2013,1.3,110467,4.0,4,5620
219,2010,5.5,157000,4.0,10,19130
220,2012,1.3,64000,4.0,4,9408
221,2011,1.8,80000,4.0,6,3
222,2013,2.0,179200,4.0,16,15367
223,2011,5.3,246976,8.0,12,5959
224,2014,2.5,179918,4.0,4,26594
225,2013,2.5,92200,4.0,12,36065
226,2016,1.6,29000,4.0,8,26343
227,2011,2.5,216550,4.0,12,549
228,1993,4.0,240000,6.0,5,6000
229,2010,4.6,357246,8.0,0,40142
230,2013,1.8,50000,4.0,10,14000
231,2014,1.4,127842,4.0,4,17923
232,2017,1.6,40193,4.0,4,54518
233,2003,1.6,180000,4.0,6,10349
234,2002,1.3,115000,4.0,7,8154
235,2008,0.4,220474,4.0,0,282
236,2013,2.0,132310,4.0,12,7527
237,2017,2.5,60762,4.0,12,3450
238,2010,2.0,142264,4.0,4,22063
239,2012,1.5,146403,4.0,0,2901
240,2013,1.8,227371,4.0,12,4704
241,2002,2.8,175000,6.0,6,5331
242,2012,2.0,203440,4.0,12,941
243,2013,1.5,70000,4.0,4,16900
244,2010,2.5,122000,4.0,4,18189
245,2000,2.5,127000,4.0,4,5331
246,2017,2.0,44995,4.0,0,42651
247,2012,1.8,122324,4.0,7,15524
248,2007,3.0,111111,6.0,10,17249
249,2013,3.5,56000,6.0,12,73071
250,2014,2.0,186048,4.0,0,862
251,2017,1.6,98000,4.0,4,28909
252,2012,2.0,573249,4.0,4,8467
253,2013,1.5,130000,4.0,0,50
254,2014,2.0,169024,4.0,4,14426
255,2011,1.4,126000,4.0,6,9000
256,2014,3.5,200179,6.0,12,30734
257,2013,2.5,156666,4.0,12,22580
258,2014,1.4,133195,4.0,0,862
259,2014,1.3,114950,4.0,4,7464
260,2016,2.5,154850,4.0,12,1333
261,2019,1.6,13000,4.0,4,59865
262,2017,2.7,94262,4.0,12,49237
263,2018,2.5,27406,4.0,4,68223
264,2017,2.0,1600,4.0,12,392
265,2006,1.8,200000,4.0,2,7683
266,2013,1.6,85500,4.0,8,22266
267,2008,3.0,175614,6.0,12,2430
268,2014,2.0,0,4.0,0,282
269,2015,1.6,85944,4.0,0,392
270,2015,2.0,0,4.0,12,33556
271,2017,1.6,73000,4.0,4,39161
272,2008,2.2,180000,4.0,2,16308
273,2009,2.4,92000,4.0,8,17719
274,2011,4.6,160138,8.0,0,43278
275,2012,3.5,197923,6.0,12,470
276,2017,1.4,42000,4.0,12,20385
277,2016,4.6,254805,8.0,12,941
278,2019,2.0,48000,4.0,4,49858
279,1998,3.2,230000,4.0,4,8781
280,2013,3.5,159250,6.0,12,220
281,2015,2.0,582376,4.0,4,9722
282,2006,5.0,2000,8.0,12,21326
283,2017,2.0,40800,4.0,4,51075
284,2011,2.0,117492,4.0,4,15241
285,2015,2.0,88795,4.0,0,2587
286,2008,2.5,56769,4.0,4,15524
287,2014,1.8,70000,4.0,8,27911
288,2013,2.5,136861,4.0,12,4861
289,2005,3.5,263000,4.0,0,29793
290,2012,1.6,95665,4.0,4,18208
291,2017,2.0,107387,4.0,12,549
292,2006,1.5,0,4.0,4,30
293,2013,2.5,65350,4.0,12,34497
294,2000,1.8,130000,4.0,0,6272
295,2007,2.0,183923,4.0,4,4924
296,2000,2.0,11111,4.0,2,4704
297,2016,2.5,97129,4.0,4,43576
298,2001,2.0,140000,4.0,4,7840
299,2018,2.0,24000,4.0,8,28225
300,1992,1.1,0,4.0,2,700
301,1998,1.5,300000,4.0,2,2352
302,2017,1.4,29094,4.0,0,18817
303,2015,2.0,148709,4.0,12,4861
304,2010,3.5,186005,6.0,12,13172
305,2013,3.5,156800,4.0,12,37320
306,2017,2.0,251430,4.0,12,706
307,2015,2.5,35000,4.0,10,39201
308,2018,1.6,35643,4.0,4,36426
309,2006,1.8,250000,4.0,4,8467
310,2000,3.2,255000,6.0,4,7840
311,2015,2.4,117158,4.0,12,12701
312,2012,2.5,281659,4.0,0,8154
313,2015,2.5,63645,4.0,12,46414
314,2015,2.1,197338,4.0,12,45160
315,2007,3.0,1123,6.0,12,100
316,2016,3.0,35000,6.0,12,100355
317,2014,2.0,136634,4.0,12,1176
318,2013,1.8,77000,6.0,0,12231
319,2007,1.5,140000,4.0,12,5802
320,2018,2.4,45494,4.0,12,2901
321,2017,1.8,47672,4.0,12,1882
322,2010,4.0,109100,12.0,12,22894
323,2013,1.3,145000,4.0,8,11290
324,1997,1.8,270000,4.0,2,6586
325,2006,2.4,188800,4.0,8,14426
326,2016,2.4,39000,4.0,12,36065
327,2014,2.5,52000,4.0,12,27284
328,2016,2.5,34000,4.0,7,21639
329,2009,1.6,140000,4.0,4,7840
330,1998,2.0,180003,4.0,4,7840
331,2008,0.4,220474,4.0,0,282
332,2016,3.0,59099,6.0,0,1646
333,2013,2.0,124000,4.0,4,24198
334,2013,1.5,34682,4.0,4,25365
335,2014,2.5,310061,4.0,12,1725
336,2010,3.5,162453,6.0,12,314
337,2012,1.8,22400,4.0,8,17249
338,2010,3.5,229904,6.0,12,470
339,2014,2.0,62000,4.0,12,31361
340,2007,1.6,54279,4.0,4,4704
341,2011,1.8,135759,4.0,4,12720
342,2013,2.0,120534,4.0,4,26372
343,2003,3.0,189000,6.0,10,13485
344,2014,1.6,140000,4.0,4,25591
345,2010,3.0,108517,6.0,12,6429
346,2016,3.5,107030,6.0,12,251
347,2010,4.6,155821,8.0,0,39829
348,2011,5.5,325811,8.0,12,13172
349,2019,2.0,24339,4.0,12,627
350,2009,1.6,130000,4.0,4,8097
351,2012,3.0,420794,6.0,12,12388
352,2012,2.0,280480,4.0,9,18503
353,2010,1.3,150000,4.0,12,12231
354,2002,1.3,135000,4.0,4,40
355,2011,2.5,237853,4.0,4,17054
356,2001,2.0,111000,4.0,6,5300
357,2015,2.0,42000,4.0,4,9565
358,2015,2.0,60618,4.0,4,24302
359,2009,2.4,230400,4.0,12,18817
360,2014,2.5,127918,4.0,12,1960
361,2016,2.4,77000,4.0,10,17249
362,2016,2.0,280016,4.0,4,15530
363,2016,2.0,270874,4.0,4,11290
364,2013,1.8,118000,4.0,12,24148
365,2014,2.0,362868,4.0,4,10036
366,2015,1.8,85000,4.0,12,18817
367,2014,1.8,132563,4.0,0,10349
368,2010,3.5,138211,6.0,12,549
369,2015,2.0,391625,4.0,4,9252
370,2018,1.7,38577,4.0,4,55823
371,2013,2.5,132800,6.0,12,25089
372,2011,2.5,52686,4.0,4,18669
373,2012,3.5,232357,6.0,12,941
374,2001,2.4,253206,4.0,2,15053
375,2014,1.5,76525,4.0,4,10660
376,2016,2.0,80000,4.0,4,37000
377,2011,2.0,186412,4.0,4,18826
378,2011,3.5,230696,6.0,12,14583
379,2007,2.2,285000,4.0,4,21012
380,2011,0.7,92000,3.0,2,5645
381,2010,2.0,120000,4.0,4,18826
382,2011,2.0,142000,4.0,4,22649
383,2011,2.5,42415,4.0,4,16590
384,2014,2.5,51000,4.0,12,31988
385,2009,2.0,19999,4.0,4,8624
386,2015,2.5,89000,4.0,0,21012
387,2014,1.5,114000,4.0,8,10663
388,2014,3.5,95987,6.0,12,220
389,2006,2.0,161000,4.0,8,13485
390,2003,1.3,241589,4.0,5,5331
391,2000,1.8,260000,4.0,6,7370
392,2003,2.0,195000,6.0,4,11900
393,2015,1.8,55000,4.0,10,17249
394,2006,0.7,314000,3.0,2,4391
395,2013,2.0,120000,4.0,10,17876
396,2010,1.3,157000,4.0,2,11604
397,2005,4.8,240000,8.0,12,13799
398,2017,2.5,76000,4.0,12,40769
399,2008,3.5,244731,6.0,12,7997
400,1995,2.5,410918,2.0,2,7840
401,2011,2.5,156800,4.0,12,14113
402,2011,1.3,188000,4.0,8,11917
403,2013,2.0,162558,4.0,4,12777
404,2013,1.5,130000,4.0,12,18817
405,2012,2.5,83000,4.0,10,23521
406,2010,3.2,150400,6.0,7,22580
407,2016,3.5,27038,6.0,12,392
408,2011,1.8,284678,4.0,12,12544
409,2014,1.4,121000,4.0,10,9722
410,2011,2.4,224349,4.0,0,3450
411,2014,1.8,263392,4.0,12,1882
412,2007,2.2,280000,4.0,2,15991
413,2014,2.5,179381,4.0,12,11133
414,2017,2.0,284251,4.0,12,94
415,2012,3.5,133000,6.0,12,34184
416,2018,1.4,25304,4.0,8,21169
417,2008,2.0,71486,4.0,4,7495
418,2011,1.8,95590,4.0,12,4861
419,2015,2.0,72369,4.0,4,13485
420,2016,4.6,155976,8.0,0,81539
421,2012,1.6,147718,4.0,4,20005
422,2003,2.5,1000,6.0,6,3000
423,2007,2.4,200000,4.0,12,11917
424,2018,2.0,4500,6.0,12,84675
425,1998,2.0,180003,4.0,4,7840
426,2012,1.8,192683,4.0,0,627
427,2010,1.8,152293,4.0,4,12570
428,2004,5.4,464000,8.0,6,17249
429,1988,2.4,455680,6.0,4,2800
430,1997,1.8,0,4.0,4,6899
431,2015,1.5,137350,4.0,4,14009
432,2011,4.6,202048,8.0,0,392
433,2016,2.0,109555,4.0,0,8311
434,2014,1.8,40000,4.0,16,23521
435,2016,2.0,65000,4.0,12,25716
436,2017,1.6,32510,4.0,4,21730
437,2019,2.5,25541,4.0,4,80911
438,2011,2.0,153651,4.0,4,19369
439,2000,1.3,125000,4.0,4,12544
440,2012,2.0,160000,4.0,4,25299
441,2018,1.6,28515,4.0,12,7213
442,2012,1.6,94923,4.0,4,6899
443,2011,4.4,147677,8.0,12,8154
444,2011,1.8,160000,4.0,12,18817
445,2019,2.0,1217,4.0,4,61499
446,2010,1.8,256000,6.0,1,17249
447,2013,1.5,137000,4.0,6,9879
448,1988,1.3,1000,4.0,6,4000
449,2011,1.8,141000,4.0,6,17249
450,2017,2.0,58414,4.0,4,51225
451,2015,2.0,93555,4.0,4,49798
452,2013,1.8,64800,4.0,12,17249
453,2014,2.0,127000,4.0,8,29166
454,2015,2.0,69555,4.0,12,188
455,2017,2.0,35000,4.0,12,79971
456,2006,1.3,27000,16.0,8,11604
457,1977,2.4,11111,6.0,0,15681
458,1995,2.0,32000,4.0,0,2500
459,2013,2.4,0,4.0,12,392
460,2018,2.0,47294,4.0,12,627
461,2014,1.3,149970,4.0,0,2274
462,2015,1.8,102400,4.0,8,19444
463,2017,3.5,39814,6.0,0,43592
464,2009,1.8,174000,4.0,8,15367
465,2013,3.5,125605,6.0,12,4861
466,2013,1.3,150000,4.0,4,14113
467,2012,2.0,228570,4.0,4,13564
468,2012,2.0,128205,4.0,10,17876
469,2002,2.4,2000,6.0,12,10349
470,2008,3.0,138000,6.0,8,15000
471,2004,3.2,205500,6.0,8,12544
472,1996,1.8,1000,4.0,2,5600
473,2012,3.0,229966,6.0,0,14583
474,2017,2.5,137000,4.0,4,36827
475,2011,3.5,368064,6.0,12,21639
476,2005,1.6,18000,1.0,5,9
477,2003,3.5,155000,6.0,4,14113
478,2016,1.6,59272,4.0,4,40340
479,2012,1.5,216000,4.0,12,10976
480,2012,3.0,86000,6.0,12,25089
481,2019,2.7,120,4.0,10,300
482,2011,2.0,143166,4.0,4,18688
483,2015,4.6,273493,8.0,0,69935
484,2015,1.6,68243,4.0,4,28830
485,2006,4.7,180000,8.0,0,42337
486,2012,2.2,141000,4.0,2,23834
487,2011,3.5,119379,6.0,12,16621
488,2017,2.0,26802,4.0,12,314
489,2014,2.0,272000,4.0,4,16000
490,2013,1.6,31691,4.0,4,11917
491,2011,3.0,120000,6.0,12,13485
492,2008,4.7,263190,8.0,0,862
493,2014,2.5,1440000,4.0,0,15994
494,1998,2.4,0,4.0,2,5175
495,2014,3.7,290000,6.0,8,15367
496,2011,1.6,73600,4.0,6,15994
497,2012,2.0,79749,4.0,4,11917
498,2018,2.5,35058,4.0,12,18817
499,2014,2.4,251514,4.0,12,1568
500,2013,2.4,20000,2.0,4,21953
501,2016,2.0,38206,4.0,4,13808
502,2011,2.5,183728,4.0,12,392
503,2012,1.8,110990,4.0,8,16151
504,2001,1.2,777,4.0,4,3300
505,2010,2.0,171344,4.0,4,22947
506,2012,3.0,58450,6.0,12,40769
507,2013,1.8,65989,4.0,0,7840
508,1993,3.0,430000,6.0,0,9408
509,2014,2.5,125000,4.0,12,25089
510,2008,4.7,218126,8.0,0,282
511,1997,5.0,167000,8.0,8,10976
512,2014,2.5,109798,4.0,12,5488
513,1997,1.8,545654,4.0,4,5000
514,2012,1.3,130000,4.0,4,9722
515,2010,3.8,151977,4.0,4,16621
516,2015,3.5,143619,6.0,12,13956
517,2015,2.0,676825,4.0,4,9418
518,2012,2.0,135490,4.0,4,24415
519,1989,2.0,199000,6.0,0,3763
520,2015,1.8,115347,4.0,0,470
521,2000,2.5,320000,6.0,4,10036
522,2014,1.8,107155,4.0,12,1725
523,2014,1.8,140082,4.0,12,549
524,2012,2.5,249422,4.0,12,314
525,1997,2.0,200000,4.0,4,5645
526,2014,1.5,100000,4.0,8,10976
527,2008,3.0,213998,6.0,12,4547
528,2013,1.5,52500,4.0,4,21285
529,2014,3.5,219030,6.0,12,29793
530,2015,4.6,102907,8.0,0,706
531,2014,2.0,186048,4.0,0,862
532,2014,3.5,149486,6.0,12,314
533,2010,2.0,168000,4.0,12,19130
534,2001,2.2,11111,5.0,6,1900
535,2017,1.7,97880,4.0,4,35570
536,2012,1.5,175000,4.0,10,8781
537,2010,2.4,263157,4.0,0,12544
538,2014,2.4,128000,4.0,8,24148
539,2013,1.8,105328,4.0,12,706
540,2014,1.8,160000,4.0,10,22580
541,2013,2.5,136861,4.0,12,4861
542,2008,1.5,210452,4.0,8,12858
543,2011,1.3,185000,4.0,2,8154
544,1998,1.8,30000,4.0,4,1800
545,2014,2.0,137328,4.0,0,4861
546,2011,3.0,129600,6.0,12,36065
547,2008,0.4,220474,4.0,0,282
548,2019,2.0,19968,4.0,12,17876
549,2014,2.0,250491,4.0,12,18189
550,2013,1.6,46000,4.0,8,24775
551,2011,2.0,163374,4.0,4,15257
552,2009,2.4,120000,4.0,6,16900
553,2011,1.0,233700,4.0,6,14740
554,2004,2.0,121856,4.0,6,10976
555,2012,2.0,137433,4.0,4,22825
556,2013,1.6,137000,4.0,4,12544
557,2015,1.8,94949,4.0,0,16935
558,2013,3.7,111111,6.0,12,20385
559,1995,2.5,200000,4.0,0,10976
560,2018,2.0,0,4.0,4,38213
561,2016,1.6,48910,4.0,4,44134
562,2001,2.6,0,6.0,8,8467
563,2013,2.5,493571,4.0,12,392
564,1994,1.9,85000,4.0,1,4391
565,2001,2.0,183000,4.0,4,7213
566,2017,1.5,58282,4.0,12,9565
567,1999,2.0,284000,4.0,4,348
568,2010,2.5,110000,4.0,6,12544
569,2007,4.8,210000,8.0,8,24148
570,2004,1.6,171000,4.0,0,6272
571,2013,2.4,77000,4.0,8,100
572,2005,3.0,170000,6.0,8,18817
573,2014,4.4,33500,8.0,12,119172
574,2011,1.3,127000,4.0,2,10663
575,2015,2.0,153958,4.0,4,44247
576,2004,2.5,346080,6.0,6,9408
577,2016,1.4,36000,4.0,6,19444
578,2008,1.8,200000,4.0,0,11917
579,2012,4.7,167000,8.0,10,75266
580,2015,2.4,78006,4.0,4,54157
581,2016,1.7,71867,4.0,4,49889
582,2007,1.5,113000,4.0,8,9408
583,2016,1.8,102500,4.0,10,23834
584,2013,2.5,101000,4.0,10,22894
585,2004,2.4,89000,4.0,10,10976
586,2009,1.9,44521,4.0,4,5604
587,2013,1.6,160000,4.0,4,17876
588,2012,1.8,136000,4.0,8,18189
589,2007,2.4,350000,4.0,0,70
590,2014,1.5,121000,4.0,0,10976
591,2013,1.6,56000,4.0,10,27911
592,2003,1.7,171339,4.0,2,6429
593,2012,2.4,123862,4.0,0,470
594,2016,2.5,99200,4.0,10,40769
595,2003,2.5,260000,6.0,8,7840
596,2012,3.6,112000,6.0,6,25089
597,1993,2.0,0,4.0,2,10976
598,1995,2.2,444000,4.0,6,7213
599,2010,3.0,157000,6.0,8,22894
600,2000,2.0,136000,4.0,6,7840
601,2015,4.6,129931,8.0,0,784
602,2015,2.0,348486,4.0,4,12231
603,2002,3.0,201000,6.0,8,11917
604,2017,2.5,34454,4.0,12,51746
605,2011,2.0,200867,4.0,4,17035
606,2002,3.0,11111,6.0,6,3100
607,2014,1.8,140414,4.0,12,188
608,2015,1.6,87534,4.0,4,27654
609,2013,2.0,91000,4.0,8,17719
610,2012,3.5,224118,6.0,12,94
611,2010,2.5,124850,4.0,4,14081
612,2014,2.0,162032,4.0,0,706
613,2010,1.8,265315,4.0,12,282
614,2015,2.4,234618,4.0,12,2666
615,2016,1.6,125774,4.0,4,23994
616,2003,2.2,190000,6.0,5,13172
617,2011,1.8,161000,4.0,11,14740
618,2017,2.5,32000,6.0,10,59586
619,2016,1.8,80000,4.0,12,18817
620,2010,1.6,130814,4.0,4,11563
621,2016,2.0,109446,4.0,4,45376
622,2002,2.0,140000,4.0,8,15681
623,2017,1.7,143544,4.0,4,33707
624,1999,2.4,0,4.0,0,12544
625,2014,2.0,418369,4.0,4,11604
626,2000,2.5,157000,6.0,4,6800
627,2013,1.6,84800,4.0,8,17876
628,2014,1.8,187334,4.0,12,188
629,2006,3.5,220000,6.0,12,18189
630,2008,3.3,119000,6.0,10,28225
631,2007,2.2,112000,4.0,4,2509
632,2016,2.5,51831,4.0,4,44247
633,2019,2.5,3000,4.0,8,71503
634,1998,1.8,200000,4.0,2,7213
635,2012,4.6,150909,8.0,0,4077
636,1999,2.0,318406,4.0,6,6586
637,2008,3.0,190000,6.0,6,15681
638,2017,3.5,174827,6.0,12,3763
639,2011,4.4,139363,8.0,0,157
640,2016,2.0,547288,4.0,4,13172
641,2014,2.0,123640,4.0,12,6586
642,2017,2.0,75186,4.0,0,47042
643,2009,2.0,39031,4.0,4,5865
644,2011,2.0,102000,4.0,4,20883
645,2008,2.4,20000,4.0,6,10976
646,2010,2.4,175000,4.0,2,23521
647,2014,2.0,67861,4.0,4,25402
648,2011,1.3,14590,4.0,0,9095
649,2013,1.8,89962,4.0,12,2666
650,2019,2.5,25000,4.0,12,87497
651,2013,2.5,190549,4.0,12,5018
652,2008,2.0,270000,4.0,4,12231
653,2011,1.3,150000,4.0,8,11604
654,2012,1.6,36239,4.0,4,20005
655,2013,2.5,190549,4.0,12,5018
656,2014,1.6,134400,3.0,0,13799
657,2010,2.0,127500,4.0,4,13068
658,2012,2.0,2012,4.0,12,14113
659,2013,1.8,157859,4.0,12,314
660,2015,2.4,245653,4.0,12,1019
661,2016,2.0,0,4.0,0,16465
662,2004,2.3,160000,6.0,6,7300
663,2009,1.6,50549,4.0,4,6899
664,2007,0.8,134863,4.0,4,3293
665,2011,2.0,72000,4.0,0,17249
666,2010,1.8,46527,4.0,4,10192
667,2014,3.5,166560,6.0,12,39201
668,2013,1.8,87000,4.0,4,36235
